date,ruined,equity,start_equity,gross_pnl,cost,funding,net_pnl,gross_return,net_return,traded_notional,gross_exposure,net_exposure,long_pnl,short_pnl,n_positions,n_live,multiplier,ex_ante_vol,ex_ante_vol_full_signal,held_ex_ante_vol,target_tracking_error
2020-06-27,False,99914.57619072542,100164.24150528642,-262.34306049385634,0.2769444466561891,-12.954690379514332,-249.66531456099824,-0.002619128908194353,-0.002492559328648453,276.94444665618914,7419.90087178535,6035.0830069987915,-306.86655719825535,44.52349670439906,20,20,0.0057542761634465376,10.04135194855429,18.735860416831432,0.060251085848300294,0.01071666578178089
2020-06-28,False,99937.95528374413,99914.57619072542,23.977738300121025,0.7188954519032577,-0.1202501704940794,23.379093018711846,0.00023998238509614737,0.00023399081405383584,718.8954519032577,7639.7549815016,5211.804456362163,54.09010364700499,-30.112365346883955,20,20,0.0057542761634465376,8.896774242812354,18.735860416831432,0.053624580065701956,0.010436969554638149
2020-06-29,False,99962.3334482929,99937.95528374413,23.829711996225683,0.4745249215930981,-1.0229774741392086,24.378164548771792,0.00023844506252472642,0.0002439329930210923,474.52492159309816,8121.915119528809,4854.047497808805,52.47362731176255,-28.643915315536866,20,20,0.0057542761634465376,8.178343565519691,18.735860416831432,0.05019097350435636,0.01041689820845663
2020-06-30,False,99933.1962857344,99962.3334482929,-28.065018706432063,0.25168448748455324,0.8204593645836804,-29.137162558500297,-0.0002807559381449327,-0.000291481416583497,251.68448748455327,8402.613424921792,4701.343139654682,-58.35595485487278,30.290936148440707,20,20,0.0057542761634465376,7.80017496066489,18.735860416831436,0.048437923348744395,0.010119352272948056
2020-07-01,False,100181.80306442177,99933.1962857344,248.37504465194857,0.29310879578287746,-0.5248428311979128,248.6067786873636,0.002485410793244131,0.002487729682702569,293.10879578287745,8565.050758156833,4455.895300569161,262.69952994642597,-14.324485294477373,20,20,0.0057542761634465376,7.327651665801165,18.73586041683143,0.0463270865517328,0.010430683801942262
2020-07-02,False,100102.68481959314,100181.80306442177,-79.70774559502415,0.2860750510406256,-0.875575817441517,-79.11824482862326,-0.0007956309744571896,-0.0007897466646487326,286.07505104062557,8994.835108661251,4418.195294180485,-112.32781145420408,32.62006585917994,20,20,0.0057542761634465376,7.034289154279665,18.735860416831432,0.047135360823948966,0.010965204457971204
2020-07-03,False,100189.46142709478,100102.68481959314,84.69599117169358,0.24616853873056702,-2.326784868681,86.77660750164401,0.0008460911045925913,0.0008668759250367198,246.16853873056704,8997.741909056502,4135.101237716199,81.55895543861595,3.1370357330776377,20,20,0.0057542761634465376,6.677636524008092,18.703431091932003,0.04452823612615073,0.011094724010901039
2020-07-04,False,100549.73570253863,100189.46142709478,352.7952454250752,0.2796061175193493,-7.758636136293987,360.2742754438499,0.00352128098504447,0.0035959298544189894,279.60611751934925,9054.54399003323,3940.191111368544,394.5096421370981,-41.714396712022904,20,20,0.0057542761634465376,6.525476507887909,18.703431091932,0.042991705414595634,0.010874975486549776
2020-07-05,False,100804.05428436132,100549.73570253863,248.27102170298207,0.4865731362526958,-6.534133255960837,254.3185818226902,0.002469136492187854,0.002529281455050799,486.5731362526958,9080.874578195508,3858.7166445442185,233.07028801866755,15.200733684314462,20,20,0.0057542761634465376,6.433946123893982,18.703431091932003,0.04302511586767285,0.01078314924912394
2020-07-06,False,100954.38991977429,100804.05428436132,151.42546012544472,0.5749466697189808,0.5148780427642848,150.33563541296147,0.001502176288448517,0.0014913649701913272,574.9466697189807,8940.8189456399,3860.214199254203,339.87634092444233,-188.45088079899762,20,20,0.0057542761634465376,6.4829848998148645,18.703431091932,0.043629395221753665,0.011213482227005014
